time,temperature_2m (°C),relative_humidity_2m (%)
2025-05-08T08:00,30.2,83.7
2025-05-08T09:00,30.2,75.5
2025-05-08T10:00,31.6,70.1
2025-05-08T11:00,31.6,63.7
2025-05-08T12:00,32.9,63.2
2025-05-08T13:00,32.8,57.1
2025-05-08T14:00,32.1,50.3
2025-05-08T15:00,34.7,50.7
2025-05-08T16:00,34.5,47.1
2025-05-08T17:00,30.9,47.2
2025-05-08T18:00,31.1,48.8
2025-05-08T19:00,34.5,47.0
2025-05-08T20:00,35.2,46.4
2025-05-08T21:00,33.8,54.6
2025-05-08T22:00,30.8,53.6
2025-05-08T23:00,31.6,47.7
2025-05-09T00:00,33.7,50.0
2025-05-09T01:00,33.8,53.1
2025-05-09T02:00,33.2,55.6
2025-05-09T03:00,31.6,57.9
2025-05-09T04:00,31.5,55.3
2025-05-09T05:00,31.9,53.8
2025-05-09T06:00,31.5,55.0
2025-05-09T07:00,30.6,51.5
2025-05-09T08:00,33.5,49.1
2025-05-09T09:00,32.4,56.3
2025-05-09T10:00,33.3,57.0
2025-05-09T11:00,34.3,54.4
2025-05-09T12:00,36.1,60.5
2025-05-09T13:00,32.4,52.5
2025-05-09T14:00,32.0,53.6
2025-05-09T15:00,33.1,54.0
2025-05-09T16:00,34.4,52.5
2025-05-09T17:00,32.2,52.1
2025-05-09T18:00,34.4,53.7
2025-05-09T19:00,33.4,55.2
2025-05-09T20:00,32.9,51.9
2025-05-09T21:00,33.3,49.7
2025-05-09T22:00,34.9,54.8
2025-05-09T23:00,34.0,56.1
2025-05-10T00:00,34.2,56.2
2025-05-10T01:00,33.8,56.7
2025-05-10T02:00,33.9,59.4
2025-05-10T03:00,30.7,55.4
2025-05-10T04:00,31.3,55.8
2025-05-10T05:00,33.3,55.4
2025-05-10T06:00,33.3,60.5
2025-05-10T07:00,33.3,54.6
2025-05-10T08:00,34.9,55.3
2025-05-10T09:00,33.0,55.2
2025-05-10T10:00,30.7,57.7
2025-05-10T11:00,31.3,50.2
